"Five3One","67","Exported on","20 de jan. de 2026"
" "," "," "
"Initial 1RM(kg)","Levantamento Terra","Agachamento","Supino","Desenvolvimento"
"","120.0","104.0","70.0","46.0"
" "," "," "
"Ciclo#","Semana","Lift","TM","Real","Data de conclusão","Notas","Avaliação","Série 1","Peso","Série 2","Peso","Série 3","Peso"
"8","2","Military Press","64.0","66.0","2024-10-07"," ","","3","46.0","3","50.0","4","58.0"
"8","3","Dead Lift","138.0","168.0","2024-10-09"," ","","5","106.0","3","118.0","7","136.0"
"8","3","Bench Press","88.0","100.0","2024-10-10"," ","","5","66.0","3","76.0","5","86.0"
"8","3","Squat","126.0","132.0","2024-10-12"," ","","5","96.0","3","110.0","3","120.0"
"8","3","Military Press","64.0","70.0","2024-10-13"," ","","5","48.0","3","56.0","2","66.0"
"8","4","Dead Lift","138.0","105.0","2024-10-15"," ","","5","60.0","5","70.0","5","90.0"
"8","4","Bench Press","88.0","65.0","2024-10-16"," ","","5","40.0","5","46.0","5","56.0"
"8","4","Squat","126.0","93.0","2024-10-18"," ","","5","60.0","5","70.0","5","80.0"
"8","4","Military Press","64.0","47.0","2024-10-21"," ","","5","30.0","5","36.0","5","40.0"
"9","1","Dead Lift","142.0","144.0","2024-10-23"," ","","5","90.0","5","110.0","6","120.0"
"9","1","Bench Press","90.0","91.0","2024-10-24"," ","","5","60.0","5","68.0","5","78.0"
"9","1","Squat","130.0","128.0","2024-10-26"," ","","5","90.0","5","100.0","5","110.0"
"9","1","Military Press","66.0","65.0","2024-10-27"," ","","5","46.0","5","50.0","5","56.0"
"9","2","Dead Lift","142.0","141.0","2024-10-31"," ","","3","100.0","3","116.0","3","128.0"
"9","2","Bench Press","90.0","88.0","2024-10-31"," ","","3","66.0","3","70.0","3","80.0","3","76.0"
"9","2","Squat","130.0","132.0","2024-11-04"," ","","3","90.0","3","110.0","3","120.0"
"9","2","Military Press","66.0","66.0","2024-11-09"," ","","3","46.0","3","56.0","3","60.0"
"9","3","Bench Press","90.0","112.0","2024-11-12"," ","","5","70.0","3","80.0","9","86.0"
"9","3","Dead Lift","142.0","163.0","2024-11-14"," ","","5","110.0","3","120.0","6","136.0","1","100.0","1","130.0"
"9","3","Military Press","66.0","66.0","2024-11-16"," ","","5","50.0","3","56.0","1","66.0","1","60.0"
"9","3","Squat","130.0","134.0","2024-11-19"," ","","5","100.0","3","110.0","2","126.0"
"10","1","Dead Lift","140.0","152.0","2024-11-28"," ","","5","90.0","5","110.0","8","120.0"
"10","1","Bench Press","91.98","99.0","2024-11-29"," ","","5","60.0","5","70.0","8","78.0"
"10","2","Bench Press","91.98","95.0","2024-12-04"," ","","3","66.0","3","76.0","3","86.0"
"10","1","Military Press","68.0","66.0","2024-12-06"," ","","5","46.0","5","50.0","4","58.0"
"1","1","Dead Lift","113.3","117.0","2025-01-06"," ","","5","80.0","5","90.0","5","100.0"
"1","1","Bench Press","80.0","82.0","2025-01-07"," ","","5","56.0","5","60.0","5","70.0"
"1","1","Squat","100.0","100.0","2025-01-11"," ","","5","66.0","5","76.0","5","86.0"
"1","1","Military Press","50.0","54.0","2025-01-13"," ","","5","36.0","5","40.0","5","46.0"
